date_only_x,mean_sentiment,countOf_tweets_day,tweet_sentiment,date_only_y,retweet_count,favorite_count
2012-01-18,-0.007142857142857141,7,Neutral,2012-01-18,749,177
2012-01-19,0.19379776601998824,9,Positive,2012-01-19,2049,433
2012-01-20,0.13818800247371674,7,Positive,2012-01-20,1664,152
2012-01-21,,0,Neutral,2012-01-21,0,0
2012-01-22,,0,Neutral,2012-01-22,0,0
2012-01-23,0.1121527777777778,8,Positive,2012-01-23,842,67
2012-01-24,0.041666666666666664,6,Neutral,2012-01-24,1435,125
2012-01-25,0.15514880952380952,12,Positive,2012-01-25,2261,536
2012-01-26,-0.05222222222222224,10,Neutral,2012-01-26,620,99
2012-01-27,0.016666666666666684,10,Neutral,2012-01-27,1069,125
2012-01-28,,0,Neutral,2012-01-28,0,0
2012-01-29,,0,Neutral,2012-01-29,0,0
2012-01-30,0.12811111111111112,5,Positive,2012-01-30,774,57
2012-01-31,0.2316017316017316,11,Positive,2012-01-31,958,131
2012-02-01,0.05793423177351749,14,Neutral,2012-02-01,1326,182
2012-02-02,0.015625,2,Neutral,2012-02-02,344,41
2012-02-03,0.052525252525252523,9,Neutral,2012-02-03,551,105
2012-02-04,,0,Neutral,2012-02-04,0,0
2012-02-05,0.1111111111111111,3,Positive,2012-02-05,102,16
2012-02-06,-0.1635416666666666,8,Negative,2012-02-06,868,125
2012-02-07,0.04319444444444444,10,Neutral,2012-02-07,872,119
2012-02-08,0.1557508116883117,22,Positive,2012-02-08,1187,335
2012-02-09,0.10437896825396824,20,Positive,2012-02-09,1336,593
2012-02-10,0.22009920634920635,8,Positive,2012-02-10,590,139
2012-02-11,,0,Neutral,2012-02-11,0,0
2012-02-12,,0,Neutral,2012-02-12,0,0
2012-02-13,0.27891156462585037,7,Positive,2012-02-13,577,97
2012-02-14,-0.03268017476350809,12,Neutral,2012-02-14,1455,361
2012-02-15,0.04736363636363637,20,Neutral,2012-02-15,1001,140
2012-02-16,0.14507427757427757,13,Positive,2012-02-16,1115,118
2012-02-17,0.09888888888888889,10,Neutral,2012-02-17,1080,290
2012-02-18,,0,Neutral,2012-02-18,0,0
2012-02-19,,0,Neutral,2012-02-19,0,0
2012-02-20,,0,Neutral,2012-02-20,0,0
2012-02-21,0.16593537414965986,7,Positive,2012-02-21,921,124
2012-02-22,0.04449254449254449,11,Neutral,2012-02-22,1235,345
2012-02-23,0.2978114478114478,11,Positive,2012-02-23,5454,3013
2012-02-24,0.13958333333333334,12,Positive,2012-02-24,1076,180
2012-02-25,,0,Neutral,2012-02-25,0,0
2012-02-26,,0,Neutral,2012-02-26,0,0
2012-02-27,-0.16964285714285715,7,Negative,2012-02-27,1217,161
2012-02-28,0.12161222615768069,11,Positive,2012-02-28,1171,102
2012-02-29,0.12986111111111112,8,Positive,2012-02-29,606,77
2012-03-01,0.18078042328042324,6,Positive,2012-03-01,539,65
2012-03-02,,0,Neutral,2012-03-02,0,0
2012-03-03,,0,Neutral,2012-03-03,0,0
2012-03-04,,0,Neutral,2012-03-04,0,0
2012-03-05,0.19333333333333336,6,Positive,2012-03-05,514,90
2012-03-06,0.2201190476190476,10,Positive,2012-03-06,1643,171
2012-03-07,0.3015625,8,Positive,2012-03-07,495,54
2012-03-08,0.32440476190476186,7,Positive,2012-03-08,545,71
2012-03-09,0.22333333333333333,5,Positive,2012-03-09,776,73
2012-03-10,,0,Neutral,2012-03-10,0,0
2012-03-11,,0,Neutral,2012-03-11,0,0
2012-03-12,-0.08164502164502166,10,Neutral,2012-03-12,2717,1610
2012-03-13,0.22362258953168046,11,Positive,2012-03-13,1112,113
2012-03-14,0.1,8,Positive,2012-03-14,574,58
2012-03-15,0.1194047619047619,6,Positive,2012-03-15,548,150
2012-03-16,0.12733585858585858,12,Positive,2012-03-16,1044,146
2012-03-17,0.3181818181818182,1,Positive,2012-03-17,54,12
2012-03-18,,0,Neutral,2012-03-18,0,0
2012-03-19,0.2,7,Positive,2012-03-19,1228,197
2012-03-20,0.4944238683127572,9,Positive,2012-03-20,3125,1827
2012-03-21,0.03424272486772487,8,Neutral,2012-03-21,1332,745
2012-03-22,0.13333333333333333,3,Positive,2012-03-22,390,79
2012-03-23,0.045462962962962976,9,Neutral,2012-03-23,744,179
2012-03-24,,0,Neutral,2012-03-24,0,0
2012-03-25,,0,Neutral,2012-03-25,0,0
2012-03-26,0.20208333333333336,8,Positive,2012-03-26,509,65
2012-03-27,,0,Neutral,2012-03-27,0,0
2012-03-28,-0.02414021164021164,14,Neutral,2012-03-28,1094,133
2012-03-29,0.13751942501942505,13,Positive,2012-03-29,881,94
2012-03-30,0.03852723665223665,16,Neutral,2012-03-30,1797,375
2012-03-31,,0,Neutral,2012-03-31,0,0
2012-04-01,,0,Neutral,2012-04-01,0,0
2012-04-02,0.3178571428571428,7,Positive,2012-04-02,927,164
2012-04-03,0.16148148148148145,9,Positive,2012-04-03,1270,238
2012-04-04,0.18448051948051947,8,Positive,2012-04-04,478,101
2012-04-05,0.24290123456790122,9,Positive,2012-04-05,695,97
2012-04-06,0.1357142857142857,14,Positive,2012-04-06,1603,410
2012-04-07,,0,Neutral,2012-04-07,0,0
2012-04-08,,0,Neutral,2012-04-08,0,0
2012-04-09,0.12708333333333335,7,Positive,2012-04-09,657,154
2012-04-10,0.3767261904761905,4,Positive,2012-04-10,457,64
2012-04-11,0.017708333333333333,8,Neutral,2012-04-11,1226,142
2012-04-12,0.04208238851095991,7,Neutral,2012-04-12,1171,180
2012-04-13,0.09454545454545454,11,Neutral,2012-04-13,3808,1859
2012-04-14,0.39999999999999997,3,Positive,2012-04-14,780,198
2012-04-15,,0,Neutral,2012-04-15,0,0
2012-04-16,0.18915719696969696,8,Positive,2012-04-16,2644,1792
2012-04-17,0.16833513708513712,6,Positive,2012-04-17,435,135
2012-04-18,0.1943392255892256,6,Positive,2012-04-18,1322,280
2012-04-19,0.25216836734693876,14,Positive,2012-04-19,1382,519
2012-04-20,0.14444444444444446,3,Positive,2012-04-20,680,244
2012-04-21,,0,Neutral,2012-04-21,0,0
2012-04-22,0.0,1,Neutral,2012-04-22,23,4
2012-04-23,0.22596153846153846,13,Positive,2012-04-23,1039,202
2012-04-24,0.268844696969697,8,Positive,2012-04-24,1051,200
2012-04-25,0.14285714285714285,2,Positive,2012-04-25,190,29
2012-04-26,0.06881613756613757,8,Neutral,2012-04-26,968,136
2012-04-27,0.204375,8,Positive,2012-04-27,702,92
2012-04-28,,0,Neutral,2012-04-28,0,0
2012-04-29,,0,Neutral,2012-04-29,0,0
2012-04-30,0.2837121212121212,10,Positive,2012-04-30,857,170
2012-05-01,0.14930555555555558,8,Positive,2012-05-01,827,119
2012-05-02,-0.006590909090909089,10,Neutral,2012-05-02,636,94
2012-05-03,-0.06898148148148149,6,Neutral,2012-05-03,662,95
2012-05-04,0.1574242424242424,10,Positive,2012-05-04,1387,196
2012-05-05,,0,Neutral,2012-05-05,0,0
2012-05-06,,0,Neutral,2012-05-06,0,0
2012-05-07,0.16805064534231198,36,Positive,2012-05-07,1620,308
2012-05-08,0.2785714285714286,7,Positive,2012-05-08,1763,401
2012-05-09,0.03589285714285714,8,Neutral,2012-05-09,1222,233
2012-05-10,0.11506493506493506,7,Positive,2012-05-10,1551,552
2012-05-11,-0.07373737373737374,11,Neutral,2012-05-11,2172,418
2012-05-12,,0,Neutral,2012-05-12,0,0
2012-05-13,,0,Neutral,2012-05-13,0,0
2012-05-14,0.24389880952380952,8,Positive,2012-05-14,2383,583
2012-05-15,0.06712962962962964,12,Neutral,2012-05-15,2770,504
2012-05-16,0.11666666666666665,6,Positive,2012-05-16,970,169
2012-05-17,0.22703703703703706,6,Positive,2012-05-17,870,369
2012-05-18,0.15046296296296297,6,Positive,2012-05-18,1668,341
2012-05-19,,0,Neutral,2012-05-19,0,0
2012-05-20,0.4681818181818182,1,Positive,2012-05-20,57,16
2012-05-21,0.21250000000000002,4,Positive,2012-05-21,1415,229
2012-05-22,0.16575915404040403,16,Positive,2012-05-22,2361,693
2012-05-23,0.11416666666666667,10,Positive,2012-05-23,1277,246
2012-05-24,0.11131657483930212,11,Positive,2012-05-24,3527,954
2012-05-25,,0,Neutral,2012-05-25,0,0
2012-05-26,,0,Neutral,2012-05-26,0,0
2012-05-27,0.25,1,Positive,2012-05-27,231,82
2012-05-28,,0,Neutral,2012-05-28,0,0
2012-05-29,0.04010416666666668,8,Neutral,2012-05-29,2286,479
2012-05-30,0.1963025951121189,21,Positive,2012-05-30,3519,1116
2012-05-31,0.0755892255892256,11,Neutral,2012-05-31,1604,367
2012-06-01,0.08791245791245791,17,Neutral,2012-06-01,1951,476
