date_only_x,mean_sentiment,countOf_tweets_day,tweet_sentiment,date_only_y,retweets,favorites
2012-01-03,0.18275462962962963,12,Positive,2012-01-03,1199,475
2012-01-04,0.2657407407407408,12,Positive,2012-01-04,3274,1532
2012-01-05,0.019877344877344875,7,Neutral,2012-01-05,2100,966
2012-01-06,0.2267857142857143,10,Positive,2012-01-06,1439,351
2012-01-07,,0,Neutral,2012-01-07,0,0
2012-01-08,,0,Neutral,2012-01-08,0,0
2012-01-09,0.003198653198653199,9,Neutral,2012-01-09,1249,617
2012-01-10,0.04531822858211748,9,Neutral,2012-01-10,19038,16063
2012-01-11,0.17450396825396824,4,Positive,2012-01-11,642,360
2012-01-12,0.2,5,Positive,2012-01-12,2077,2697
2012-01-13,0.008549783549783545,7,Neutral,2012-01-13,17704,21416
2012-01-14,,0,Neutral,2012-01-14,0,0
2012-01-15,,0,Neutral,2012-01-15,0,0
2012-01-16,0.0,1,Neutral,2012-01-16,113,18
2012-01-17,0.22182539682539681,12,Positive,2012-01-17,11457,8872
2012-01-18,-0.007142857142857141,7,Neutral,2012-01-18,769,226
2012-01-19,0.19379776601998824,9,Positive,2012-01-19,1938,551
2012-01-20,0.13818800247371674,7,Positive,2012-01-20,1569,206
2012-01-21,,0,Neutral,2012-01-21,0,0
2012-01-22,,0,Neutral,2012-01-22,0,0
2012-01-23,0.1121527777777778,8,Positive,2012-01-23,811,90
2012-01-24,0.18857142857142856,10,Positive,2012-01-24,1659,422
2012-01-25,0.15514880952380952,12,Positive,2012-01-25,2308,826
2012-01-26,-0.05222222222222224,10,Neutral,2012-01-26,843,460
2012-01-27,0.016666666666666673,10,Neutral,2012-01-27,1008,166
2012-01-28,,0,Neutral,2012-01-28,0,0
2012-01-29,,0,Neutral,2012-01-29,0,0
2012-01-30,0.1778650793650794,10,Positive,2012-01-30,1045,158
2012-01-31,0.2316017316017316,11,Positive,2012-01-31,934,165
2012-02-01,0.05793423177351749,14,Neutral,2012-02-01,1434,454
2012-02-02,0.015625,2,Neutral,2012-02-02,336,44
2012-02-03,0.05252525252525252,9,Neutral,2012-02-03,594,205
2012-02-04,,0,Neutral,2012-02-04,0,0
2012-02-05,0.1111111111111111,3,Positive,2012-02-05,101,20
2012-02-06,0.035087719298245626,19,Neutral,2012-02-06,1135,292
2012-02-07,0.04319444444444443,10,Neutral,2012-02-07,867,202
2012-02-08,0.15093978937728936,26,Positive,2012-02-08,5539,8276
2012-02-09,0.10987259816207183,19,Positive,2012-02-09,1326,731
2012-02-10,0.22009920634920635,8,Positive,2012-02-10,666,271
2012-02-11,,0,Neutral,2012-02-11,0,0
2012-02-12,,0,Neutral,2012-02-12,0,0
2012-02-13,0.1382936507936508,10,Positive,2012-02-13,1277,666
2012-02-14,-0.032680174763508096,12,Neutral,2012-02-14,1917,878
2012-02-15,0.04684573002754824,22,Neutral,2012-02-15,1203,457
2012-02-16,0.14507427757427757,13,Positive,2012-02-16,1103,189
2012-02-17,0.09888888888888889,10,Neutral,2012-02-17,1056,307
2012-02-18,,0,Neutral,2012-02-18,0,0
2012-02-19,,0,Neutral,2012-02-19,0,0
2012-02-20,,0,Neutral,2012-02-20,0,0
2012-02-21,0.13403108465608468,12,Positive,2012-02-21,1463,585
2012-02-22,0.04449254449254449,11,Neutral,2012-02-22,1249,459
2012-02-23,0.22508417508417508,11,Positive,2012-02-23,5353,3735
2012-02-24,0.13958333333333334,12,Positive,2012-02-24,1137,446
2012-02-25,,0,Neutral,2012-02-25,0,0
2012-02-26,,0,Neutral,2012-02-26,0,0
2012-02-27,-0.013611111111111114,15,Neutral,2012-02-27,2372,1488
2012-02-28,0.12161222615768068,11,Positive,2012-02-28,1155,186
2012-02-29,0.12986111111111115,8,Positive,2012-02-29,654,194
2012-03-01,0.1807804232804233,6,Positive,2012-03-01,661,414
2012-03-02,,0,Neutral,2012-03-02,0,0
2012-03-03,,0,Neutral,2012-03-03,0,0
2012-03-04,,0,Neutral,2012-03-04,0,0
2012-03-05,0.185018315018315,13,Positive,2012-03-05,1282,799
2012-03-06,0.22011904761904763,10,Positive,2012-03-06,1674,587
2012-03-07,0.30156250000000007,8,Positive,2012-03-07,480,75
2012-03-08,0.3244047619047619,7,Positive,2012-03-08,535,101
2012-03-09,0.22333333333333333,5,Positive,2012-03-09,746,101
2012-03-10,,0,Neutral,2012-03-10,0,0
2012-03-11,,0,Neutral,2012-03-11,0,0
2012-03-12,-0.006270690094219522,17,Neutral,2012-03-12,22634,34026
2012-03-13,0.2236225895316804,11,Positive,2012-03-13,1847,976
2012-03-14,0.1,8,Positive,2012-03-14,552,95
2012-03-15,-0.01341666666666668,10,Neutral,2012-03-15,972,427
2012-03-16,0.12733585858585858,12,Positive,2012-03-16,2091,651
2012-03-17,0.3181818181818182,1,Positive,2012-03-17,51,11
2012-03-18,,0,Neutral,2012-03-18,0,0
2012-03-19,0.14,10,Positive,2012-03-19,4330,3775
2012-03-20,0.4944238683127572,9,Positive,2012-03-20,3048,2233
2012-03-21,0.03424272486772485,8,Neutral,2012-03-21,1351,829
2012-03-22,0.02988888888888888,10,Neutral,2012-03-22,1006,428
2012-03-23,0.045462962962962976,9,Neutral,2012-03-23,761,238
2012-03-24,,0,Neutral,2012-03-24,0,0
2012-03-25,,0,Neutral,2012-03-25,0,0
2012-03-26,0.20208333333333334,8,Positive,2012-03-26,534,135
2012-03-27,,0,Neutral,2012-03-27,0,0
2012-03-28,-0.022530864197530868,15,Neutral,2012-03-28,1168,272
2012-03-29,0.13751942501942505,13,Positive,2012-03-29,917,177
2012-03-30,0.038527236652236646,16,Neutral,2012-03-30,2017,839
2012-03-31,,0,Neutral,2012-03-31,0,0
2012-04-01,,0,Neutral,2012-04-01,0,0
2012-04-02,0.24375,12,Positive,2012-04-02,1160,365
2012-04-03,0.16148148148148148,9,Positive,2012-04-03,1202,257
2012-04-04,0.18448051948051947,8,Positive,2012-04-04,621,342
2012-04-05,0.18842592592592597,12,Positive,2012-04-05,1459,1239
2012-04-06,0.1357142857142857,14,Positive,2012-04-06,2007,1242
2012-04-07,,0,Neutral,2012-04-07,0,0
2012-04-08,,0,Neutral,2012-04-08,0,0
2012-04-09,0.12708333333333335,7,Positive,2012-04-09,740,308
2012-04-10,0.1662003968253968,12,Positive,2012-04-10,985,731
2012-04-11,0.017708333333333343,8,Neutral,2012-04-11,1826,1066
2012-04-12,0.10579805996472663,12,Positive,2012-04-12,1438,747
2012-04-13,0.09454545454545454,11,Neutral,2012-04-13,3434,1755
2012-04-14,0.39999999999999997,3,Positive,2012-04-14,780,256
2012-04-15,0.3528409090909091,2,Positive,2012-04-15,169,60
2012-04-16,0.13459595959595957,6,Positive,2012-04-16,2202,1839
2012-04-17,0.16833513708513712,6,Positive,2012-04-17,413,133
2012-04-18,0.13452756734006735,12,Positive,2012-04-18,1652,818
2012-04-19,0.2521683673469388,14,Positive,2012-04-19,2589,1528
2012-04-20,0.14444444444444446,3,Positive,2012-04-20,1125,686
2012-04-21,,0,Neutral,2012-04-21,0,0
2012-04-22,0.18333333333333335,3,Positive,2012-04-22,235,44
2012-04-23,0.19895833333333332,12,Positive,2012-04-23,1611,607
2012-04-24,0.268844696969697,8,Positive,2012-04-24,1425,1012
2012-04-25,0.14285714285714285,2,Positive,2012-04-25,195,29
2012-04-26,0.13131613756613758,8,Positive,2012-04-26,967,186
2012-04-27,0.204375,8,Positive,2012-04-27,1354,852
2012-04-28,,0,Neutral,2012-04-28,0,0
2012-04-29,0.55,1,Positive,2012-04-29,60,11
2012-04-30,0.2837121212121212,10,Positive,2012-04-30,1146,569
2012-05-01,0.14930555555555558,8,Positive,2012-05-01,1126,690
2012-05-02,-0.006590909090909094,10,Neutral,2012-05-02,741,348
2012-05-03,-0.06898148148148148,6,Neutral,2012-05-03,645,110
2012-05-04,0.1431129476584022,11,Positive,2012-05-04,1556,546
2012-05-05,,0,Neutral,2012-05-05,0,0
2012-05-06,0.16414207005116097,33,Positive,2012-05-06,864,212
2012-05-07,0.14274475524475524,13,Positive,2012-05-07,1091,228
2012-05-08,0.2785714285714286,7,Positive,2012-05-08,1699,423
2012-05-09,0.03589285714285714,8,Neutral,2012-05-09,1415,692
2012-05-10,0.11506493506493506,7,Positive,2012-05-10,1512,577
2012-05-11,-0.07373737373737371,11,Neutral,2012-05-11,2107,455
2012-05-12,,0,Neutral,2012-05-12,0,0
2012-05-13,,0,Neutral,2012-05-13,0,0
2012-05-14,0.2511930529787672,21,Positive,2012-05-14,4510,2427
2012-05-15,0.06712962962962964,12,Neutral,2012-05-15,2877,1006
2012-05-16,0.11666666666666665,6,Positive,2012-05-16,976,261
2012-05-17,0.22703703703703704,6,Positive,2012-05-17,855,414
2012-05-18,0.11768971768971767,13,Positive,2012-05-18,3353,2862
2012-05-19,,0,Neutral,2012-05-19,0,0
2012-05-20,0.4681818181818182,1,Positive,2012-05-20,60,14
2012-05-21,0.2457449494949495,15,Positive,2012-05-21,1694,510
2012-05-22,0.16575915404040406,16,Positive,2012-05-22,2742,1542
2012-05-23,0.11416666666666667,10,Positive,2012-05-23,1324,430
2012-05-24,0.11131657483930213,11,Positive,2012-05-24,3519,1423
2012-05-25,,0,Neutral,2012-05-25,0,0
2012-05-26,,0,Neutral,2012-05-26,0,0
2012-05-27,0.25,1,Positive,2012-05-27,269,157
2012-05-28,,0,Neutral,2012-05-28,0,0
2012-05-29,0.07838541666666668,16,Neutral,2012-05-29,2430,647
2012-05-30,0.196470658970659,22,Positive,2012-05-30,6975,6664
2012-05-31,0.0755892255892256,11,Neutral,2012-05-31,2934,1690
2012-06-01,0.08791245791245791,17,Neutral,2012-06-01,2332,1073
2012-06-02,0.06818181818181818,1,Neutral,2012-06-02,41,7
2012-06-03,0.2181818181818182,4,Positive,2012-06-03,625,572
2012-06-04,0.2202840909090909,10,Positive,2012-06-04,1322,365
2012-06-05,0.013462669018224578,9,Neutral,2012-06-05,1081,312
2012-06-06,0.129656886323553,9,Positive,2012-06-06,2950,1680
2012-06-07,0.2864109848484848,8,Positive,2012-06-07,696,252
2012-06-08,0.17530092592592594,12,Positive,2012-06-08,2131,1701
2012-06-09,0.2898148148148148,6,Positive,2012-06-09,302,96
2012-06-10,,0,Neutral,2012-06-10,0,0
2012-06-11,0.044878472222222215,16,Neutral,2012-06-11,1803,787
2012-06-12,0.06326079674293959,14,Neutral,2012-06-12,4190,2269
2012-06-13,0.2716712580348944,11,Positive,2012-06-13,2023,590
2012-06-14,0.022064393939393953,8,Neutral,2012-06-14,2208,2268
2012-06-15,0.277020202020202,9,Positive,2012-06-15,1522,503
2012-06-16,,0,Neutral,2012-06-16,0,0
2012-06-17,,0,Neutral,2012-06-17,0,0
2012-06-18,0.12872023809523808,13,Positive,2012-06-18,1830,946
2012-06-19,-0.017730880230880198,6,Neutral,2012-06-19,1251,563
2012-06-20,0.034009740259740254,8,Neutral,2012-06-20,3371,1462
2012-06-21,0.14067079889807163,11,Positive,2012-06-21,2635,599
2012-06-22,0.19523809523809524,9,Positive,2012-06-22,1074,237
2012-06-23,,0,Neutral,2012-06-23,0,0
2012-06-24,,0,Neutral,2012-06-24,0,0
2012-06-25,0.008148148148148144,9,Neutral,2012-06-25,2004,519
2012-06-26,0.16815151515151516,10,Positive,2012-06-26,1973,575
2012-06-27,-0.04680555555555555,6,Neutral,2012-06-27,3237,2009
2012-06-28,0.09124999999999998,10,Neutral,2012-06-28,3939,1171
2012-06-29,0.3962121212121213,11,Positive,2012-06-29,1788,514
2012-06-30,,0,Neutral,2012-06-30,0,0
2012-07-01,,0,Neutral,2012-07-01,0,0
2012-07-02,0.0425925925925926,9,Neutral,2012-07-02,1451,447
2012-07-03,0.15176509997938573,21,Positive,2012-07-03,3658,1611
2012-07-04,,0,Neutral,2012-07-04,0,0
