date_only,sentiment
2012-01-02,
2012-01-03,
2012-01-04,
2012-01-05,
2012-01-06,
2012-01-07,
2012-01-08,
2012-01-09,
2012-01-10,
2012-01-11,
2012-01-12,
2012-01-13,
2012-01-14,
2012-01-15,
2012-01-16,
2012-01-17,
2012-01-18,
2012-01-19,
2012-01-20,
2012-01-21,
2012-01-22,
2012-01-23,
2012-01-24,
2012-01-25,
2012-01-26,
2012-01-27,
2012-01-28,
2012-01-29,
2012-01-30,
2012-01-31,
2012-02-01,
2012-02-02,
2012-02-03,
2012-02-04,
2012-02-05,
2012-02-06,
2012-02-07,
2012-02-08,
2012-02-09,
2012-02-10,
2012-02-11,
2012-02-12,
2012-02-13,
2012-02-14,
2012-02-15,
2012-02-16,
2012-02-17,
2012-02-18,
2012-02-19,
2012-02-20,
2012-02-21,
2012-02-22,
2012-02-23,
2012-02-24,
2012-02-25,
2012-02-26,
2012-02-27,
2012-02-28,
2012-02-29,
2012-03-01,
2012-03-02,
2012-03-03,
2012-03-04,
2012-03-05,
2012-03-06,
2012-03-07,
2012-03-08,
2012-03-09,
2012-03-10,
2012-03-11,
2012-03-12,
2012-03-13,
2012-03-14,
2012-03-15,
2012-03-16,
2012-03-17,
2012-03-18,
2012-03-19,
2012-03-20,
2012-03-21,
2012-03-22,
2012-03-23,
2012-03-24,
2012-03-25,
2012-03-26,
2012-03-27,
2012-03-28,
2012-03-29,
2012-03-30,
2012-03-31,
2012-04-01,
2012-04-02,
2012-04-03,
2012-04-04,
2012-04-05,
2012-04-06,
2012-04-07,
2012-04-08,
2012-04-09,0.07083333333333333
2012-04-10,0.125
2012-04-11,0.1592727272727273
2012-04-12,0.2772727272727272
2012-04-13,0.09995619459905174
2012-04-14,0.25
2012-04-15,
2012-04-16,-0.15
2012-04-17,0.65
2012-04-18,0.05329365079365079
2012-04-19,0.3
2012-04-20,0.0
2012-04-21,0.2857142857142857
2012-04-22,
2012-04-23,-0.021875
2012-04-24,0.10833333333333332
2012-04-25,0.08333333333333333
2012-04-26,0.036854657687991024
2012-04-27,0.2571428571428572
2012-04-28,0.5
2012-04-29,0.3181818181818182
2012-04-30,0.0
2012-05-01,0.0
2012-05-02,
2012-05-03,0.33888888888888885
2012-05-04,0.08272727272727273
2012-05-05,0.15277777777777776
2012-05-06,
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,0.22500000000000003
2012-05-10,0.0
2012-05-11,0.1782828282828283
2012-05-12,
2012-05-13,
2012-05-14,0.061111111111111116
2012-05-15,
2012-05-16,0.13333333333333336
2012-05-17,0.05
2012-05-18,0.10787037037037035
2012-05-19,
2012-05-20,
2012-05-21,0.13636363636363635
2012-05-22,0.11988636363636364
2012-05-23,0.15000000000000002
2012-05-24,0.06818181818181818
2012-05-25,0.2340909090909091
2012-05-26,0.0
2012-05-27,
2012-05-28,0.0
2012-05-29,0.03125
2012-05-30,0.025892857142857148
2012-05-31,0.19444444444444445
2012-06-01,0.05
2012-06-02,
2012-06-03,
2012-06-04,
2012-06-05,0.30000000000000004
2012-06-06,0.020292207792207785
2012-06-07,0.5
2012-06-08,0.07425595238095238
2012-06-09,
2012-06-10,
2012-06-11,-0.6
2012-06-12,0.023611111111111104
2012-06-13,0.2090909090909091
2012-06-14,0.18882189239332095
2012-06-15,0.5
2012-06-16,
2012-06-17,
2012-06-18,0.0625
2012-06-19,0.03411095077761744
2012-06-20,0.0
2012-06-21,0.1624158249158249
2012-06-22,0.39999999999999997
2012-06-23,0.2857142857142857
2012-06-24,0.5
2012-06-25,0.3986111111111111
2012-06-26,0.10416666666666666
2012-06-27,0.3
2012-06-28,0.20532467532467535
2012-06-29,0.4
2012-06-30,0.0
2012-07-01,-0.09375
2012-07-02,0.0
2012-07-03,0.11180555555555556
2012-07-04,
2012-07-05,0.0
2012-07-06,0.2333333333333333
2012-07-07,0.5
2012-07-08,
2012-07-09,0.012222222222222223
2012-07-10,0.0505050505050505
2012-07-11,0.07222222222222223
2012-07-12,0.036276455026455025
2012-07-13,0.0
2012-07-14,
2012-07-15,0.5
2012-07-16,0.0
2012-07-17,0.16702380952380952
2012-07-18,0.26461038961038963
2012-07-19,0.0
2012-07-20,
2012-07-21,
2012-07-22,
2012-07-23,0.25
2012-07-24,0.11342592592592594
2012-07-25,0.28939393939393937
2012-07-26,0.14689393939393938
2012-07-27,0.011111111111111118
2012-07-28,0.3
2012-07-29,
2012-07-30,0.09062500000000001
2012-07-31,0.175
2012-08-01,0.0
2012-08-02,0.0
2012-08-03,0.041666666666666664
2012-08-04,0.2791666666666667
2012-08-05,0.0
2012-08-06,0.03333333333333333
2012-08-07,0.16666666666666666
2012-08-08,0.0
2012-08-09,0.0
2012-08-10,0.0
2012-08-11,0.4
2012-08-12,0.2
2012-08-13,0.125
2012-08-14,0.014890873015873014
2012-08-15,0.1466435185185185
2012-08-16,0.053703703703703705
2012-08-17,0.0
2012-08-18,-0.025
2012-08-19,0.05000000000000001
2012-08-20,0.5833333333333334
2012-08-21,0.0
2012-08-22,0.19747474747474744
2012-08-23,0.32285714285714284
2012-08-24,0.0
2012-08-25,0.1
2012-08-26,0.0
2012-08-27,0.26666666666666666
2012-08-28,0.008928571428571425
2012-08-29,0.575
2012-08-30,0.06818181818181818
2012-08-31,0.21503673094582182
2012-09-01,0.1
2012-09-02,0.05
2012-09-03,0.16666666666666666
2012-09-04,0.09098288075560804
2012-09-05,0.04375000000000001
2012-09-06,0.2403409090909091
