date_only,sentiment
2012-01-31,
2012-02-29,
2012-03-31,
2012-04-30,0.13424410096945305
2012-05-31,0.11604236155465666
2012-06-30,0.17158559368704293
2012-07-31,0.12088859768076636
2012-08-31,0.14881983461770695
2012-09-30,0.138724768695357
2012-10-31,0.10254993000826339
2012-11-30,0.1131996191422421
2012-12-31,0.025
2013-01-31,
2013-02-28,
2013-03-31,
2013-04-30,
2013-05-31,
2013-06-30,
2013-07-31,
2013-08-31,
2013-09-30,
2013-10-31,
2013-11-30,
2013-12-31,
2014-01-31,
2014-02-28,
2014-03-31,
2014-04-30,0.18444444444444447
2014-05-31,0.16
2014-06-30,0.2509920634920635
2014-07-31,0.07808080808080808
2014-08-31,0.2880952380952381
2014-09-30,0.22306582306582307
2014-10-31,0.19999999999999998
2014-11-30,0.4142857142857143
2014-12-31,0.7333333333333334
2015-01-31,0.21944444444444444
2015-02-28,0.16666666666666666
2015-03-31,0.4
2015-04-30,
2015-05-31,0.0
2015-06-30,
2015-07-31,
2015-08-31,
2015-09-30,
2015-10-31,
2015-11-30,
2015-12-31,
2016-01-31,
2016-02-29,
2016-03-31,
2016-04-30,
2016-05-31,
2016-06-30,
2016-07-31,0.27722222222222215
2016-08-31,0.1231446158008658
2016-09-30,0.10705376273558093
2016-10-31,0.149944885361552
2016-11-30,0.09244505494505495
2016-12-31,
2017-01-31,
2017-02-28,0.3059027777777778
2017-03-31,0.0866960076960077
2017-04-30,0.0191358024691358
2017-05-31,0.20859375
2017-06-30,0.1550986050986051
2017-07-31,0.17584301663249033
2017-08-31,0.17664141414141418
2017-09-30,0.038419913419913417
2017-10-31,0.21550116550116552
2017-11-30,0.29205387205387207
2017-12-31,0.37660256410256415
2018-01-31,0.46416666666666667
2018-02-28,0.30527843368752455
2018-03-31,0.28794949494949496
2018-04-30,0.26276041666666666
2018-05-31,0.2432335633116883
2018-06-30,0.07913333333333333
2018-07-31,0.16875000000000004
2018-08-31,0.1715277777777778
2018-09-30,0.06973905723905723
2018-10-31,0.12702089679867454
2018-11-30,0.265309117965368
2018-12-31,0.25
2019-01-31,-0.018877551020408168
2019-02-28,0.1389155625519262
2019-03-31,-0.06741702741702744
2019-04-30,0.1445107537964681
2019-05-31,0.20687612251832432
2019-06-30,0.14323951057074596
2019-07-31,0.13661443690807912
2019-08-31,0.12392134917737331
2019-09-30,0.09192046749729554
2019-10-31,0.09654060180078834
2019-11-30,0.13636239300243055
2019-12-31,0.10449560844131547
2020-01-31,0.11682137598870901
2020-02-29,0.13153938337177112
2020-03-31,0.1187516743026553
2020-04-30,0.12036529106212247
2020-05-31,0.08622348175633893
2020-06-30,0.08060458214323185
2020-07-31,0.09847866298743496
2020-08-31,0.1260631086802134
2020-09-30,0.12151975415795548
2020-10-31,0.11429781475230383
2020-11-30,0.0749968671679198
