id,replies,retweets,quotes,likes,tidy_tweets,sentiment,Overall_sentimental,day_of_week,date_only,Time
361388562,19,5,17,11,Tune in ET tomorrow for a live webcast of Families USA Presidential Forum on health care http presidentialforums health org ,0.13636363636363635,Positive,Wednesday,2007-10-24,22:45:00
543984392,13,16,6,22,Iowans there s a good chance there s a Biden near you today on a cool F day http blog joebiden com p ,0.3833333333333333,Positive,Saturday,2007-12-29,15:35:00
189287227321356289,21,82,1,20,We re excited to announce that JoeBiden is being rebooted for the campaign season to give you news of the Vice President on the trail ,0.375,Positive,Monday,2012-04-09,09:42:00
189287350034104320,144,76,37,51,Campaign staff will run this account to keep you up to date on what the VP s up to but you ll see occasional tweets from Joe himself too ,0.0,Neutral,Monday,2012-04-09,09:43:00
189339650610036736,10,54,0,5,News for you this morning VP Biden will speak in Exeter NH on on tax fairness and the President s support for the #BuffettRule ,0.0,Neutral,Monday,2012-04-09,13:11:00
189343279140184065,16,52,0,6,In NH on the Vice President will give his take on why millionaires shouldn t pay a lower tax rate than middle class families do ,0.0,Neutral,Monday,2012-04-09,13:25:00
189383473717460992,114,471,0,51,I m for the Buffett Rule because it just makes sense Like the President says it s not class warfare It s math Joe,0.0,Neutral,Monday,2012-04-09,16:05:00
189456416917032960,13,29,0,12,During a recent campaign stop in Ohio VP Biden took an unexpected phone call http t co mI osDxK,0.05,Neutral,Monday,2012-04-09,20:55:00
189712253187145728,21,217,1,137,Favorite Joe photos volume http t co Xt pSrGc,0.5,Positive,Tuesday,2012-04-10,13:51:00
189742771387637760,8,21,0,5,The VP will be speaking in NH on Thursday about the #BuffettRule Here s what you need to know about it http t co sWu EjD ,0.0,Neutral,Tuesday,2012-04-10,15:52:00
189773314288402432,16,44,0,7,Joe We re not only fighting to keep jobs in this country we re fighting to bring jobs back to this country http t co oQXBjj N,0.0,Neutral,Tuesday,2012-04-10,17:54:00
189813040856825856,26,26,0,3,Congress is scheduled to vote on the Buffett Rule next week Why do you support a fairer tax system http t co Piruuqan,0.0,Neutral,Tuesday,2012-04-10,20:32:00
190129116622761984,18,29,0,11,RT BarackObama The Republican primary is all but over and this race is on Are you ready http t co VdHE Ayb,0.30000000000000004,Positive,Wednesday,2012-04-11,17:28:00
190146175008112640,7,11,0,4,Heads up We ll be livestreaming the Vice President s New Hampshire speech on the #BuffettRule tomorrow Watch this space for details ,0.13636363636363635,Positive,Wednesday,2012-04-11,18:35:00
190172245975502848,28,443,0,208,High five http t co ZNnRhyVE,0.16,Positive,Wednesday,2012-04-11,20:19:00
190198707449372673,1,8,0,3,RT OFA NH #Exeter gets ready for JoeBiden s #BuffettRule speech here tomorrow http t co YZjlEqe,0.2,Positive,Wednesday,2012-04-11,22:04:00
190221525117448192,25,64,0,7,Compare your tax rate to Mitt Romney s http t co R vmjGJe #BuffettRule,0.0,Neutral,Wednesday,2012-04-11,23:35:00
190454419035398145,22,89,0,21,The Vice President is speaking about the #BuffettRule in Exeter New Hampshire at pm ET tune in here http t co QK yYL X,0.13636363636363635,Positive,Thursday,2012-04-12,15:00:00
190468063236337664,5,19,0,2,Watch Vice President Biden s speech live http t co uYcZa vK #BuffettRule,0.13636363636363635,Positive,Thursday,2012-04-12,15:54:00
190468245638221824,2,12,0,2,The Vice President s speech will be live tweeted on Obama ,0.13636363636363635,Positive,Thursday,2012-04-12,15:55:00
190508166717517825,14,23,0,4,RT Obama The President and I believe in a fair shot and a fair shake VP JoeBiden #BuffettRule,0.7,Positive,Thursday,2012-04-12,18:34:00
190594251615240192,12,26,0,8,The Vice President made the case for economic fairness and a strong middle class in New Hampshire today http t co GXHRrVec,0.19242424242424241,Positive,Friday,2012-04-13,00:16:00
190605642581549056,7,27,0,7,Here s the full video of VP Biden s speech on the #BuffettRule in New Hampshire this morning http t co RFhqv o ,0.24318181818181817,Positive,Friday,2012-04-13,01:01:00
190619904238563330,140,268,0,62,Karen in NH It s about time the tax code was refurbished so it not only benefits the wealthy but helps everybody http t co bn gX ,0.25,Positive,Friday,2012-04-13,01:58:00
190826443322818561,0,15,0,4,Join Vice President Biden and special guests for a #Gen event in D C on April th http t co SUwSQoW,0.35714285714285715,Positive,Friday,2012-04-13,15:39:00
190872265120940034,8,17,0,7,Photo of the day VP Biden greets a little Granite Stater during a campaign stop http t co T hb Qk,-0.1875,Negative,Friday,2012-04-13,18:41:00
190896173958168577,19,89,0,14,While Romney stalls on releasing his tax returns take a look back at years of the President and VP s taxes http t co HRmoZFD,0.0,Neutral,Friday,2012-04-13,20:16:00
190922422483042304,11,24,0,5,The Vice President sat down for a chat with edshow s Ed Schultz yesterday http t co VqmUoOla,-0.15555555555555559,Negative,Friday,2012-04-13,22:00:00
191185984912752641,5,35,0,32,Today in favorite Joe photos The VP reacts to a joke during a Motown tribute concert at the White House this February http t co t W Q N,0.25,Positive,Saturday,2012-04-14,15:27:00
191922916563222528,21,48,0,7, In America we re not supposed to have a system that s rigged Vice President Biden on the common sense #BuffettRule,-0.3,Negative,Monday,2012-04-16,16:16:00
191951432654663680,17,41,0,4,As the Senate nears a vote on the #BuffettRule tweet your senators and ask them to support it http t co ILd FS,0.0,Neutral,Monday,2012-04-16,18:09:00
192295285098156032,9,17,0,6,Expecting a great crowd at the #Gen event tonight looking forward to seeing you all there Joe,0.8,Positive,Tuesday,2012-04-17,16:55:00
192372300979519488,10,59,0,47,Favorite Joe photos vol http t co f S DjDG,0.5,Positive,Tuesday,2012-04-17,22:01:00
192450734799847424,7,40,0,9,Fired up crowd at the Howard Theatre this evening Thanks for coming out guys Joe,0.2,Positive,Wednesday,2012-04-18,03:13:00
192658120269500416,9,8,0,2,RT LatinosforObama Today is the national launch of LatinosforObama become a part of it here http t co FtQV jb #Latinos ,0.0,Neutral,Wednesday,2012-04-18,16:57:00
192679673308782593,10,37,0,6,Granddaughter Naomi introduced me at #Gen event last night She said young people have to turn out the vote this year she s right Joe,0.12857142857142856,Positive,Wednesday,2012-04-18,18:23:00
192714383175069697,5,26,0,9,RT VP VP today on reauthorizing #VAWA What are we arguing about This shouldn t be hard ,-0.2916666666666667,Negative,Wednesday,2012-04-18,20:41:00
192723684140654593,14,114,2,15,RT VP VP Biden No woman should be victimized purely because someone else had more physical power or more economic power #VAWA,0.28285714285714286,Positive,Wednesday,2012-04-18,21:18:00
192753468186959875,4,17,0,7,Watch Vice President Biden make the case for reauthorizing the #VAWA which he authored as a senator http t co yzcMDY I,0.0,Neutral,Wednesday,2012-04-18,23:16:00
193047199297445888,7,9,0,13,A favorite photo Joe gets barbecue with his son Beau during the Democratic National Convention in Denver http t co oxtdDhCn,0.5,Positive,Thursday,2012-04-19,18:43:00
193081247776505856,7,14,0,9,Joe Biden tells Esquiremag what he s learned so far http t co v CuP NC,0.1,Positive,Thursday,2012-04-19,20:58:00
193386289544970240,12,21,0,5,Joe spells out why organizing for #Obama now will make all the difference in November http t co gNbj vBd,0.0,Neutral,Friday,2012-04-20,17:10:00
193733508651425793,7,17,0,2,Joe told CARandDRIVER about his passion for cars and why President Obama s auto industry rescue was the right move http t co h YiZLN,0.2857142857142857,Positive,Saturday,2012-04-21,16:10:00
194450021532442628,0,10,0,3,On Thursday VP Biden will make a campaign stop at NYU to talk about national security ,0.0,Neutral,Monday,2012-04-23,15:37:00
194450291834359809,5,8,0,3,To tee up the VP s speech we ll be spotlighting the Vice President s foreign policy work stay tuned for stories and photos all week long ,-0.0875,Neutral,Monday,2012-04-23,15:38:00
194464639545909250,3,12,1,5,During a visit to the Middle East in the VP spoke of the close bond between the U S and Israel http t co Obihd ts,0.0,Neutral,Monday,2012-04-23,16:35:00
194529576205025281,2,5,0,2,In May the VP reaffirmed U S solidarity with a unified EU in an address to the European Parliament http t co QhKwAL ,0.0,Neutral,Monday,2012-04-23,20:53:00
194850770959609856,5,9,1,3,VP national security speech week Check out photos from the Vice President s trip to China last summer http t co QIhNEwvY,0.0,Neutral,Tuesday,2012-04-24,18:10:00
194853740040302592,194,65,96,37,Read Vice President Biden s op ed on the benefits of a strong U S China relationship http t co eOCdagLc,0.4333333333333333,Positive,Tuesday,2012-04-24,18:22:00
194880773839519746,1,12,0,2,Watch highlights from the VP s trip to Asia including a visit with Japanese earthquake survivors http t co oStlnBVw,0.0,Neutral,Tuesday,2012-04-24,20:09:00
194929312938459136,10,4,0,3,The VP spoke about the importance of building a sovereign stable Afghanistan in January http t co ZrulCduN,0.0,Neutral,Tuesday,2012-04-24,23:22:00
195176336346710016,0,13,0,19,VP national security speech week In December the VP marked the end of combat operations in Iraq http t co LMXUKtHz,0.1,Positive,Wednesday,2012-04-25,15:43:00
195204064395538432,3,6,1,4,Photo gallery The Vice President explores Turkey during a December trip http t co L yxzkq,0.0,Neutral,Wednesday,2012-04-25,17:34:00
195262295469862914,31,112,0,36,There s an #Obama weekend of action coming up and Joe wants you to get involved see what s going on in your town http t co hZxdLm ,0.15000000000000002,Positive,Wednesday,2012-04-25,21:25:00
